client_id,clnt_tenure_yr,clnt_tenure_mnth,clnt_age,gendr,num_accts,bal,calls_6_mnth,logons_6_mnth
836976,6.0,73.0,60.5,U,2.0,45105.3,6.0,9.0
1439522,5.0,64.0,32.0,U,2.0,52467.78999999999,6.0,9.0
3727881,5.0,71.0,30.5,U,2.0,23915.6,0.0,3.0
272934,5.0,66.0,58.5,U,2.0,27021.42,2.0,5.0
2208717,5.0,67.0,33.0,U,2.0,29782.96,6.0,9.0
2368987,5.0,71.0,54.5,U,2.0,44408.869999999995,2.0,5.0
2892152,4.0,58.0,36.0,U,2.0,46815.48,5.0,8.0
4536541,3.0,47.0,74.0,U,2.0,47804.5,1.0,4.0
3788589,10.0,122.0,32.5,M,2.0,30750.76,0.0,3.0
5904035,8.0,101.0,25.5,U,2.0,27848.76,3.0,6.0
1502049,8.0,100.0,31.0,U,2.0,28952.15,0.0,3.0
7585111,5.0,70.0,42.0,U,3.0,36621.41,1.0,4.0
3638336,12.0,152.0,30.5,M,3.0,54296.67,3.0,6.0
9520009,13.0,160.0,30.0,M,2.0,61062.57,6.0,9.0
7035604,7.0,86.0,30.5,U,2.0,28175.92,1.0,4.0
2109862,7.0,93.0,38.0,U,2.0,35917.29,2.0,5.0
1549737,7.0,94.0,68.5,U,2.0,35608.94,1.0,4.0
7474517,6.0,73.0,52.5,U,2.0,53993.47,4.0,7.0
6651826,8.0,103.0,34.5,U,2.0,44696.97,0.0,3.0
9721424,12.0,152.0,32.0,F,2.0,29667.6,0.0,3.0
9796602,18.0,216.0,46.0,F,2.0,25827.39,0.0,3.0
4821014,17.0,204.0,62.5,M,2.0,45073.259999999995,1.0,4.0
7906602,21.0,260.0,54.5,F,2.0,39725.28,2.0,5.0
2671231,5.0,68.0,23.0,U,2.0,43062.3,1.0,4.0
9587439,5.0,66.0,26.5,U,2.0,28875.65,6.0,9.0
4906392,13.0,159.0,27.5,F,2.0,52600.869999999995,2.0,5.0
3939684,15.0,190.0,60.5,F,2.0,48166.13,1.0,4.0
3731320,7.0,89.0,39.5,U,2.0,34487.99,6.0,9.0
9055726,5.0,70.0,25.0,U,3.0,33261.64,6.0,9.0
5808972,5.0,66.0,23.0,U,2.0,29898.98,0.0,3.0
7414763,7.0,91.0,27.0,U,2.0,53219.649999999994,6.0,9.0
3402999,7.0,92.0,39.0,U,2.0,56527.899999999994,0.0,3.0
3284361,12.0,152.0,31.5,F,2.0,28085.99,1.0,4.0
6666515,14.0,169.0,38.0,U,2.0,59526.369999999995,2.0,5.0
410752,11.0,142.0,19.0,M,2.0,25640.01,2.0,5.0
4264493,5.0,67.0,22.5,U,3.0,36298.009999999995,6.0,9.0
5816825,14.0,178.0,54.5,F,2.0,32873.33,3.0,6.0
1730954,5.0,63.0,36.5,F,2.0,58456.9,0.0,3.0
2570380,4.0,56.0,52.5,U,2.0,51670.67999999999,2.0,5.0
5449775,4.0,56.0,28.5,U,2.0,46749.74,2.0,5.0
8415669,14.0,178.0,59.5,M,2.0,43793.82,0.0,3.0
6810931,5.0,60.0,23.0,U,2.0,45780.6,5.0,8.0
7949341,14.0,175.0,48.0,U,2.0,25253.269999999997,0.0,3.0
1643775,4.0,59.0,18.0,U,2.0,25270.359999999997,1.0,4.0
7702214,6.0,73.0,32.0,U,2.0,43988.28,6.0,9.0
200698,13.0,156.0,31.5,M,2.0,28559.28,2.0,5.0
6226205,12.0,155.0,68.5,F,2.0,45294.1,4.0,7.0
2069824,13.0,167.0,50.5,F,2.0,52157.46,6.0,9.0
7772844,4.0,59.0,37.5,U,3.0,43012.02,0.0,3.0
9242446,15.0,182.0,70.0,M,2.0,56986.04,3.0,6.0
1905822,11.0,134.0,28.5,F,2.0,49186.49,2.0,5.0
5586955,6.0,80.0,32.0,U,2.0,30493.379999999997,0.0,3.0
3097635,9.0,113.0,22.0,M,2.0,27215.69,0.0,3.0
2559930,14.0,172.0,50.0,F,2.0,26430.43,5.0,8.0
2693746,14.0,172.0,51.5,M,2.0,35206.61,0.0,3.0
6652996,10.0,120.0,50.0,F,2.0,48410.619999999995,1.0,4.0
5601417,8.0,105.0,55.0,F,2.0,23799.359999999997,0.0,3.0
1592329,17.0,212.0,27.5,U,2.0,27189.73,0.0,3.0
7885704,20.0,244.0,65.5,F,2.0,34564.77,0.0,3.0
2876901,4.0,58.0,54.0,U,2.0,47348.42999999999,0.0,3.0
2365190,5.0,66.0,29.5,U,3.0,30376.22,3.0,6.0
730546,16.0,200.0,51.5,F,2.0,33972.979999999996,3.0,6.0
7139038,6.0,78.0,39.0,U,2.0,31918.65,3.0,6.0
121354,5.0,60.0,30.5,U,2.0,35592.44,5.0,8.0
7597197,12.0,151.0,33.0,F,2.0,60175.34,2.0,5.0
8806527,10.0,121.0,28.0,U,2.0,55742.17999999999,5.0,8.0
8011247,5.0,60.0,59.5,M,2.0,31921.909999999996,6.0,9.0
5416822,14.0,168.0,39.0,M,2.0,40549.95,1.0,4.0
6055529,6.0,76.0,27.5,U,2.0,48601.07,2.0,5.0
6679780,5.0,68.0,71.5,F,2.0,36978.84,3.0,6.0
2668008,6.0,73.0,34.0,U,2.0,38654.73,3.0,6.0
7704754,12.0,148.0,25.5,M,2.0,31514.339999999997,5.0,8.0
4110312,8.0,97.0,66.0,U,2.0,36933.259999999995,4.0,7.0
7794321,12.0,152.0,28.0,M,2.0,37879.82,3.0,6.0
3545210,28.0,347.0,83.5,F,2.0,47993.13,2.0,5.0
4149206,27.0,324.0,56.0,F,2.0,27023.89,1.0,4.0
151444,7.0,95.0,31.0,U,2.0,34814.84,5.0,8.0
9341975,8.0,97.0,26.5,U,2.0,28038.0,6.0,9.0
9070908,6.0,83.0,54.5,U,2.0,55787.69,0.0,3.0
3070720,6.0,74.0,29.5,U,3.0,47151.82,2.0,5.0
312094,4.0,56.0,21.5,U,2.0,58108.74,3.0,6.0
3270955,6.0,81.0,74.5,U,2.0,37672.53,3.0,6.0
6840204,7.0,95.0,58.0,U,2.0,31129.409999999996,3.0,6.0
7288041,25.0,300.0,32.5,F,3.0,43742.869999999995,6.0,9.0
3143881,24.0,289.0,51.0,F,2.0,53080.91,6.0,9.0
4447192,22.0,270.0,59.0,M,2.0,40191.39,3.0,6.0
976546,19.0,229.0,38.5,M,4.0,59503.189999999995,5.0,8.0
4644384,17.0,206.0,57.0,U,2.0,35975.52,3.0,6.0
9635691,4.0,59.0,46.0,U,2.0,31486.81,6.0,9.0
5687972,14.0,176.0,34.5,M,2.0,24919.16,0.0,3.0
7705023,12.0,144.0,44.0,F,2.0,60526.869999999995,0.0,3.0
4260236,12.0,155.0,60.0,F,2.0,58615.38,0.0,4.0
8368220,7.0,93.0,28.5,U,2.0,36539.119999999995,1.0,4.0
1524426,8.0,99.0,36.0,U,2.0,53131.28,2.0,5.0
5572217,8.0,106.0,47.5,F,2.0,30552.39,2.0,5.0
3604010,5.0,70.0,52.5,U,2.0,32731.37,1.0,4.0
8506583,6.0,81.0,27.5,F,2.0,51726.56,6.0,9.0
7307378,12.0,154.0,69.5,M,2.0,36397.41,0.0,3.0
5754354,15.0,185.0,38.5,F,2.0,34866.45,0.0,3.0
4231609,6.0,75.0,45.0,U,2.0,39335.899999999994,2.0,5.0
3767937,15.0,189.0,53.0,M,2.0,47734.69,3.0,6.0
278839,11.0,143.0,62.0,F,2.0,33051.97,1.0,4.0
8789491,5.0,69.0,22.0,U,2.0,40487.92999999999,2.0,5.0
