client_id,clnt_tenure_yr,clnt_tenure_mnth,clnt_age,gendr,num_accts,bal,calls_6_mnth,logons_6_mnth
2304905,7.0,94.0,58.0,U,2.0,110860.3,6.0,9.0
1562045,16.0,198.0,49.0,M,2.0,67454.65,3.0,6.0
5126305,12.0,145.0,33.0,F,2.0,103671.75,0.0,3.0
388801,30.0,361.0,57.5,M,5.0,522498.72,1.0,4.0
285619,30.0,369.0,67.5,M,2.0,299388.72,3.0,6.0
8198645,15.0,189.0,54.5,F,2.0,382303.83,6.0,9.0
8368822,8.0,100.0,34.5,U,2.0,75578.54000000001,0.0,3.0
2537139,8.0,99.0,51.5,U,2.0,135940.68,6.0,9.0
2214073,16.0,193.0,62.5,M,3.0,136818.03,6.0,9.0
719792,11.0,136.0,31.0,F,2.0,111736.78,5.0,8.0
6590646,8.0,103.0,42.5,F,3.0,2768726.87,5.0,8.0
1508759,6.0,80.0,58.5,U,2.0,66514.85,4.0,7.0
9381346,7.0,88.0,62.5,U,2.0,272252.76,0.0,3.0
3055315,5.0,65.0,34.5,F,2.0,66560.69,1.0,5.0
3350906,5.0,68.0,55.0,U,2.0,88627.18,2.0,5.0
6448014,7.0,85.0,57.5,U,2.0,82787.45999999999,6.0,9.0
2305285,14.0,168.0,54.0,M,2.0,132347.89,6.0,9.0
5889920,11.0,142.0,33.0,M,2.0,106249.03,1.0,4.0
3065089,19.0,228.0,63.0,M,2.0,439723.43,6.0,9.0
313570,18.0,223.0,48.0,F,2.0,75124.07,2.0,5.0
3753796,25.0,305.0,66.5,F,2.0,214661.75,6.0,9.0
6647577,23.0,286.0,68.0,F,3.0,86005.57,2.0,5.0
6341488,23.0,285.0,65.0,F,2.0,116534.46,5.0,8.0
838619,23.0,280.0,60.5,F,2.0,131309.81,0.0,3.0
2000151,21.0,254.0,38.0,F,2.0,136515.53999999998,6.0,9.0
6579978,21.0,253.0,74.0,M,2.0,71192.58,1.0,4.0
8475126,23.0,278.0,51.0,M,3.0,327091.01999999996,3.0,6.0
7419744,18.0,221.0,49.0,U,2.0,162233.71000000002,0.0,3.0
1329260,17.0,212.0,63.5,F,2.0,666138.27,5.0,8.0
5542798,9.0,116.0,56.5,M,2.0,79888.68,5.0,8.0
5977906,10.0,130.0,76.5,F,2.0,82916.93,3.0,6.0
7928244,14.0,177.0,33.0,F,2.0,105416.69,6.0,9.0
1531616,10.0,129.0,60.0,M,2.0,100777.88,6.0,9.0
8387066,27.0,329.0,66.0,M,2.0,406190.96,6.0,9.0
8593187,14.0,168.0,56.0,M,3.0,207559.95,6.0,9.0
5908339,15.0,190.0,40.0,F,2.0,205785.55,5.0,8.0
4442018,6.0,82.0,33.0,U,2.0,65264.869999999995,6.0,9.0
5727622,6.0,73.0,52.0,U,3.0,109130.47,4.0,7.0
9150149,5.0,66.0,43.5,U,2.0,104179.39,2.0,5.0
7176877,5.0,66.0,35.0,U,2.0,75279.47,2.0,5.0
3979917,19.0,239.0,63.0,M,2.0,374919.6,4.0,7.0
7759130,5.0,69.0,64.5,U,2.0,78278.56,6.0,9.0
5587497,7.0,91.0,64.0,U,2.0,410277.5,5.0,8.0
9492169,4.0,58.0,42.0,U,2.0,98181.16,0.0,3.0
9692048,11.0,142.0,38.0,M,2.0,87935.1,4.0,7.0
9250552,7.0,95.0,33.5,U,2.0,77674.34,2.0,5.0
2264903,15.0,187.0,61.0,M,2.0,63368.8,2.0,5.0
7321667,7.0,95.0,39.5,U,2.0,68761.48999999999,6.0,9.0
1460648,24.0,288.0,40.5,F,5.0,121700.66,5.0,8.0
2942135,21.0,261.0,68.5,U,3.0,417847.47,6.0,9.0
1459001,20.0,251.0,72.0,M,3.0,166623.2,1.0,4.0
6398341,20.0,250.0,33.5,F,3.0,109127.33,6.0,9.0
5531076,19.0,228.0,44.5,M,2.0,67727.62,2.0,5.0
3162487,8.0,101.0,40.0,U,2.0,259691.04,0.0,3.0
8096768,10.0,123.0,60.0,F,2.0,91761.22,0.0,3.0
6737425,15.0,190.0,59.5,M,2.0,83778.79000000001,5.0,8.0
7458635,7.0,94.0,26.5,U,3.0,158434.49,6.0,9.0
3322068,15.0,188.0,45.0,F,2.0,140687.41,6.0,9.0
934609,14.0,169.0,54.0,F,2.0,136573.63,1.0,4.0
2408879,4.0,58.0,49.0,U,2.0,208004.65,5.0,8.0
1596507,28.0,336.0,78.0,F,3.0,175883.31,6.0,9.0
8763719,12.0,149.0,40.0,M,3.0,98540.5,6.0,9.0
7449147,27.0,330.0,26.5,F,2.0,215247.65999999997,3.0,6.0
2096514,14.0,175.0,59.5,F,2.0,84419.06,1.0,4.0
5474775,14.0,175.0,40.5,F,2.0,95855.61,0.0,3.0
7045562,7.0,96.0,33.5,U,3.0,73644.53,1.0,4.0
8501949,7.0,93.0,27.0,U,2.0,76834.13,5.0,8.0
5376149,20.0,242.0,56.5,M,2.0,858054.38,6.0,9.0
148954,13.0,163.0,59.5,F,2.0,89263.33,3.0,6.0
7803610,7.0,91.0,29.0,U,2.0,66958.67,6.0,9.0
4681026,6.0,81.0,57.0,U,2.0,99729.87,6.0,9.0
6980695,4.0,56.0,74.5,U,2.0,143304.76,5.0,8.0
9073948,7.0,85.0,58.5,U,2.0,175468.15000000002,6.0,9.0
9897542,6.0,82.0,23.0,U,2.0,66806.76999999999,2.0,5.0
4560228,6.0,73.0,53.0,M,2.0,98419.63,1.0,4.0
5115750,22.0,271.0,62.0,F,4.0,351838.75,1.0,4.0
4516383,8.0,99.0,45.0,U,2.0,91159.68,6.0,9.0
1860982,7.0,94.0,51.5,U,2.0,98988.68,0.0,3.0
1945276,16.0,193.0,50.5,M,2.0,91623.79,1.0,4.0
1525212,13.0,157.0,33.0,F,2.0,72424.95999999999,6.0,9.0
3678422,17.0,204.0,33.0,M,3.0,339660.52999999997,6.0,9.0
4561742,15.0,184.0,44.5,M,3.0,240993.69,3.0,6.0
6689398,27.0,335.0,68.0,M,2.0,89224.4,3.0,6.0
3093790,29.0,357.0,69.5,F,2.0,107604.36,3.0,6.0
9625688,9.0,111.0,35.5,M,2.0,91643.57,2.0,5.0
7280817,15.0,185.0,54.0,M,2.0,192518.99,6.0,9.0
9247669,6.0,81.0,38.5,U,3.0,414323.08,6.0,9.0
3455403,8.0,99.0,55.0,M,2.0,73520.62,4.0,7.0
3930919,10.0,129.0,35.0,M,2.0,64113.1,0.0,3.0
2615801,5.0,60.0,27.0,U,3.0,72480.08,5.0,8.0
1165994,5.0,63.0,69.0,U,2.0,226833.77,2.0,5.0
5650730,10.0,122.0,43.0,M,2.0,474954.32,5.0,8.0
7695537,6.0,83.0,54.5,U,2.0,174976.65999999997,1.0,4.0
3431014,13.0,162.0,43.0,M,2.0,163374.12,3.0,6.0
8972482,16.0,194.0,62.0,M,3.0,396305.98,6.0,9.0
3778929,13.0,156.0,59.5,F,2.0,300637.25,5.0,8.0
1840230,6.0,82.0,29.0,U,2.0,163702.91999999998,6.0,9.0
4761400,15.0,190.0,56.0,F,2.0,71982.87,2.0,5.0
9435892,17.0,204.0,47.0,M,2.0,86797.79999999999,6.0,9.0
8971654,15.0,186.0,61.5,F,2.0,71995.54000000001,3.0,6.0
340192,24.0,295.0,73.5,F,2.0,321351.47,6.0,9.0
7845532,23.0,282.0,71.0,F,2.0,187639.61,4.0,7.0
5119615,20.0,246.0,48.0,F,2.0,243282.69,1.0,4.0
4028430,9.0,109.0,60.0,M,2.0,87207.53,6.0,9.0
2519481,28.0,343.0,60.0,M,2.0,143769.09,5.0,8.0
4412954,5.0,66.0,21.0,U,2.0,101928.87,6.0,9.0
3362778,10.0,130.0,61.0,F,2.0,127314.89,6.0,9.0
8676893,9.0,116.0,60.5,F,2.0,88968.26,1.0,5.0
4399072,27.0,329.0,57.5,F,3.0,117836.94,3.0,6.0
6929446,28.0,347.0,83.0,M,2.0,326957.19,0.0,3.0
1105924,13.0,161.0,52.0,F,3.0,96007.87,5.0,8.0
6770720,14.0,179.0,62.5,M,2.0,1907094.11,4.0,8.0
4853148,9.0,109.0,61.5,F,2.0,190619.33,2.0,5.0
425532,5.0,67.0,42.0,U,4.0,112715.89,6.0,9.0
929350,9.0,111.0,72.5,M,3.0,190530.62,5.0,8.0
1435050,15.0,189.0,52.5,F,2.0,1589727.12,1.0,4.0
929038,8.0,99.0,60.5,U,3.0,125733.21,6.0,9.0
5205837,9.0,119.0,56.5,M,2.0,114022.38,5.0,8.0
493194,6.0,75.0,57.5,U,2.0,66942.64,2.0,5.0
3706067,6.0,81.0,76.0,U,2.0,167990.39,3.0,6.0
5474772,8.0,106.0,66.5,F,2.0,168966.38,4.0,7.0
3937930,5.0,66.0,66.5,U,2.0,430081.07,3.0,6.0
4088467,13.0,166.0,36.0,F,2.0,103756.74,0.0,3.0
9989642,6.0,78.0,63.0,U,2.0,202064.63,5.0,8.0
8253877,16.0,202.0,36.5,M,2.0,120874.88,6.0,9.0
9821262,23.0,285.0,65.5,M,3.0,1141653.0499999998,3.0,6.0
